timestamp,route_id,travel_seconds,travel_minutes
2026-06-10 19:33:40,11,55,0.92
2026-06-10 19:33:40,195,143,2.38
2026-06-10 19:33:40,496,84,1.4
2026-06-10 19:33:40,195,181,3.02
2026-06-10 19:33:40,204,68,1.13
2026-06-10 19:33:40,55,57,0.95
2026-06-10 19:33:40,172,54,0.9
2026-06-10 19:33:40,97,41,0.68
2026-06-10 19:33:40,136,66,1.1
2026-06-10 19:33:40,112,71,1.18
2026-06-10 19:33:40,110,179,2.98
2026-06-10 19:33:40,123,120,2.0
2026-06-10 19:33:40,94,48,0.8
2026-06-10 19:33:40,12,47,0.78
2026-06-10 19:33:40,41,40,0.67
2026-06-10 19:33:40,47,99,1.65
2026-06-10 19:33:40,747,900,15.0
2026-06-10 19:33:40,105,44,0.73
2026-06-10 19:33:40,49,121,2.02
2026-06-10 19:33:40,179,38,0.63
2026-06-10 19:33:40,180,115,1.92
2026-06-10 19:33:40,206,215,3.58
2026-06-10 19:33:40,36,93,1.55
2026-06-10 19:33:40,43,25,0.42
2026-06-10 19:33:40,86,47,0.78
2026-06-10 19:33:40,124,60,1.0
2026-06-10 19:33:40,49,60,1.0
2026-06-10 19:33:40,411,1140,19.0
2026-06-10 19:33:40,85,43,0.72
2026-06-10 19:33:40,51,39,0.65
2026-06-10 19:33:40,92,36,0.6
2026-06-10 19:33:40,172,60,1.0
2026-06-10 19:33:40,43,73,1.22
2026-06-10 19:33:40,10,37,0.62
